codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
TUT0085,35,C,0,0,,Banco de 3 transformadores 13 kV 1F convenc. Frente muerto 35 kVA,TUT-3R35,,
TRV0385,960,C,0,0,,Transformador 22 kV 3F conv. 960 kVA en cámara,TRV-3O960,,
APO0521,400,C,0,12,,Proy. 240 V Na 400 W en poste con red aerea hilo piloto pot. cte. C,APD-0PPCS400PC,48,
MEV0003,,,0,0,,Medidor 22kV 3F4H - Espec. Electr.  Energía A-R-D-M - 20 A_ Forma 5S,MEV-3R20_5S,,
ESV0116,,,0,0,,Est. 22 kV 3F Dos Postes Angular deriv. 3F Semi Centrada Retención,ESV-3HA+3SR,,
TUT0111,318,C,0,0,,Banco de 3 transformadores 13 kV 1F convenc. Frente muerto 318 kVA,TUT-3R318,,
APO0911,75,C,0,10,,Lum. 240 V Led 75 W en poste con red aérea Autocontrolada pot. cte. C,APD-0PLCL75AC,7.5,
AOD0087,250,C,0,12,C,Lum. 240 V Ornamental Na 250 W en poste Hilo Piloto. pot. cte.,AOD-0PLS250PC,30,
APO0371,250,D,150,12,S,Lum. 240 V Na 250 W en fachada con red subt Autocont. Dob.niv.pot. C,APD-0ALCS250AD,30,19.5
ESV0079,,,0,0,,Est. 22 kV 3F Tres Postes Doble retenc. deriv. 1F Centrada Retenc.,ESV-3TD+1CR,,
TAR0008,,,0,0,,Tensor poste a poste en V Simple en redes de dist. 34.5 kV,TAR-0SS,,
TRR0305,57.5,C,0,0,,Banco de 2 transformadores 34.5 kV monofásicos 57.5 kVA en poste,TRR-3B57.5,,
TRV0079,120,C,0,0,,Transformador 22 kV 3F conv. 120 kVA en cámara,TRV-3O120,,
TRT0287,315,C,0,0,,Banco de 3 transformadores 13 kV monofásicos 315 KVA en cámara,TRT-3I315,,
MEC0008,,,0,0,,Medidor 120V 1F2H - Masivos Electrónico. Energía Activa - 100 A_Forma 1S,MEC-1E100_1S,,
CSP0007,50,,0,0,,Sem. 110V en poste camara,CSC-0PC50,,
SST0026,,,0,0,,"Secc. red subt. 13kV 3F con barraje desc., 4 vias,  200 A",SST-3B4_200,,
SPT0119,,,0,0,,Secc. 13kV 3F con reconectador 600A BIL 75,SPT-3R600_75,,
APO0766,500,C,0,10,,Lum. 240 V Led 500 W en fachada con red subt Autocontrolada pot. cte. C,APD-0ALCL500AC,50,
SPR0060,,,0,0,,Secc. 34.5kV 3F con reconectador 400A BIL 125,SPR-3R400_125,,
APO0943,90,C,0,10,,Lum. 240 V Led 90 W en fachada con red subt Autocontrolada pot. cte. C,APD-0ALCL90AC,9,
SPO0051,,,0,0,,Secc. 3F con fusible 165K,SPO-3F165K,,
TRR0129,52.5,C,0,0,,Banco de 2 transformadores 34.5 kV monofásicos 52.5 KVA en cámara,TRR-3V52.5,,
TRV0082,1500,C,0,0,,Transformador 22 kV 3F conv. 1500 kVA en cámara,TRV-3O1500,,
TRS0098,700,C,0,0,,Transformador 6 kV 3F Pedestal o Padmounted 700 kVA,TRS-3P700,,
AOD0186,90,C,0,10,C,Lum. 240 V Ornamental Led 90 W en poste Hilo Piloto. pot. cte.,AOD-0PLL90PC,9,
AOD0187,8,C,0,10,C,Lum. 240 V Ornamental Led 8 W en piso Hilo Piloto. pot. cte.,AOD-0ILL8PC,0.8,
AOD0185,87,C,0,10,C,Lum. 240 V Ornamental Led 87 W en poste Hilo Piloto. pot. cte.,AOD-0PLL87PC,8.7,
AOD0182,7,C,0,10,C,Proy. 240 V Ornamental Led 7 W en piso hilo piloto pot. cte.,AOD-0IPL7PC,0.7,
AOD0183,50,C,0,10,C,Lum. 240 V Ornamental Led 50 W en poste Hilo Piloto. pot. cte.,AOD-0PLL50PC,5,
AOD0180,6,C,0,10,C,Proy. 240 V Ornamental Led 6 W en piso Autocont. pot. cte.,AOD-0IPL6AC,0.6,
AOD0181,7.5,C,0,10,C,Proy. 240 V Ornamental Led 7.5 W en piso Hilo Piloto. pot. cte.,AOD-0IPL7.5PC,0.75,
APO1052,6.5,C,0,10,C,Lum. 240 V Led 6.5 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL6.5PC,0.65,
AOD0184,80,C,0,10,C,Lum. 240 V Ornamental Led 80 W en poste Hilo Piloto. pot. cte.,AOD-0PLL80PC,8,
APO1046,314,C,0,10,C,Lum. 240 V Led 314 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL314PC,31.4,
APO1045,314,C,0,10,C,Lum. 240 V Led 314 W en poste con red aérea Autocontrolada pot. cte. C,APD-0PLCL314AC,31.4,
APO1040,230,C,0,10,C,Lum. 240 V Led 230 W en poste con red aerea Autocontrolada pot. cte. C,APD-0PLCL230AC,23,
TRT0511,730,C,0,0,,Transformador 13 kV 3F conv. 730 kVA en cámara,TRT-3O730,,
TRT0510,925,C,0,0,,Transformador 13 kV 3F conv. 925 kVA en cámara,TRT-3O925,,
APO1039,215,C,0,10,C,Lum. 240 V Led 215 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL215PC,21.5,
